Cliente_Cod,Cliente_Status,Cliente_Idade,Cliente_Genero,Dependent_count,Cliente_Nivel_Educacao,Estado_Civil,Categoria_Cartao
768805383,Existing Customer,45,M,3,High School,Married,Blue
818770008,Existing Customer,49,F,5,Graduate,Single,Blue
713982108,Existing Customer,51,M,3,Graduate,Married,Blue
769911858,Existing Customer,40,F,4,High School,Unknown,Blue
709106358,Existing Customer,40,M,3,Uneducated,Married,Blue
713061558,Existing Customer,44,M,2,Graduate,Married,Blue
810347208,Existing Customer,51,M,4,Unknown,Married,Gold
818906208,Existing Customer,32,M,0,High School,Unknown,Silver
710930508,Existing Customer,37,M,3,Uneducated,Single,Blue
719661558,Existing Customer,48,M,2,Graduate,Single,Blue
708790833,Existing Customer,42,M,5,Uneducated,Unknown,Blue
710821833,Existing Customer,65,M,1,Unknown,Married,Blue
710599683,Existing Customer,56,M,1,College,Single,Blue
816082233,Existing Customer,35,M,3,Graduate,Unknown,Blue
712396908,Existing Customer,57,F,2,Graduate,Married,Blue
714885258,Existing Customer,44,M,4,Unknown,Unknown,Blue
709967358,Existing Customer,48,M,4,Post-Graduate,Single,Blue
753327333,Existing Customer,41,M,3,Unknown,Married,Blue
806160108,Existing Customer,61,M,1,High School,Married,Blue
709327383,Existing Customer,45,F,2,Graduate,Married,Blue
806165208,Existing Customer,47,M,1,Doctorate,Divorced,Blue
708508758,Attrited Customer,62,F,0,Graduate,Married,Blue
784725333,Existing Customer,41,M,3,High School,Married,Blue
811604133,Existing Customer,47,F,4,Unknown,Single,Blue
789124683,Existing Customer,54,M,2,Unknown,Married,Blue
771071958,Existing Customer,41,F,3,Graduate,Single,Blue
720466383,Existing Customer,59,M,1,High School,Unknown,Blue
804424383,Existing Customer,63,M,1,Unknown,Married,Blue
718813833,Existing Customer,44,F,3,Uneducated,Single,Blue
806624208,Existing Customer,47,M,4,High School,Married,Blue
778348233,Existing Customer,53,M,3,Unknown,Married,Blue
712991808,Existing Customer,53,M,2,Uneducated,Married,Blue
709029408,Existing Customer,41,M,4,Graduate,Married,Blue
788658483,Existing Customer,53,F,2,College,Married,Blue
787937058,Existing Customer,58,M,0,Graduate,Married,Blue
715318008,Existing Customer,55,F,1,College,Single,Blue
713962233,Existing Customer,55,F,3,Graduate,Married,Blue
785432733,Existing Customer,42,F,4,High School,Married,Gold
715190283,Existing Customer,57,F,1,Graduate,Unknown,Blue
708300483,Attrited Customer,66,F,0,Doctorate,Married,Blue
827111283,Existing Customer,45,M,3,Graduate,Single,Blue
758551608,Existing Customer,51,M,2,Unknown,Married,Blue
773146383,Existing Customer,50,F,1,College,Single,Silver
778493808,Existing Customer,49,M,3,High School,Married,Blue
720572508,Existing Customer,38,F,4,Graduate,Single,Blue
712661433,Existing Customer,49,M,4,Uneducated,Single,Blue
789172683,Existing Customer,56,M,2,Doctorate,Married,Blue
738406533,Existing Customer,59,M,1,Doctorate,Married,Blue
799723908,Existing Customer,46,M,3,High School,Married,Blue
771490833,Existing Customer,52,M,1,College,Single,Blue
720756708,Existing Customer,52,F,3,Unknown,Married,Blue
779471883,Attrited Customer,54,F,1,Graduate,Married,Blue
711525033,Existing Customer,66,F,0,High School,Married,Blue
712813458,Existing Customer,49,M,2,Unknown,Married,Blue
714374133,Attrited Customer,56,M,2,Graduate,Married,Blue
717891558,Existing Customer,49,F,4,Graduate,Unknown,Blue
716632758,Existing Customer,49,F,3,Graduate,Single,Blue
768563658,Existing Customer,56,M,2,Uneducated,Married,Blue
711427458,Existing Customer,44,F,5,Graduate,Married,Blue
714091983,Existing Customer,42,M,2,High School,Single,Blue
787584108,Existing Customer,55,M,3,Unknown,Married,Blue
712030833,Attrited Customer,48,M,2,Graduate,Married,Silver
711481533,Existing Customer,39,M,1,High School,Divorced,Blue
710082708,Existing Customer,44,M,4,Post-Graduate,Single,Blue
708155733,Existing Customer,53,M,2,High School,Single,Blue
788979258,Existing Customer,51,M,4,Uneducated,Single,Silver
807986133,Existing Customer,57,M,2,College,Married,Blue
788730933,Existing Customer,44,F,2,Uneducated,Single,Blue
711314058,Existing Customer,49,M,2,Graduate,Married,Blue
717975333,Existing Customer,50,M,2,Doctorate,Married,Blue
715971108,Existing Customer,51,M,4,Graduate,Single,Blue
720096558,Existing Customer,55,F,2,Graduate,Married,Blue
719580033,Existing Customer,54,M,1,Graduate,Unknown,Blue
820582308,Existing Customer,42,M,5,Uneducated,Married,Blue
789973308,Existing Customer,44,M,1,College,Single,Blue
712876233,Existing Customer,53,M,2,Graduate,Single,Blue
804595158,Existing Customer,44,F,4,Graduate,Single,Blue
714826758,Existing Customer,37,F,3,Uneducated,Single,Blue
779058108,Existing Customer,49,M,3,Graduate,Divorced,Blue
710790258,Existing Customer,47,M,2,Graduate,Married,Blue
715623483,Existing Customer,47,M,3,Graduate,Married,Blue
715156383,Existing Customer,44,M,1,Unknown,Unknown,Blue
711013983,Attrited Customer,55,F,4,Unknown,Married,Blue
755420433,Existing Customer,59,F,1,Graduate,Married,Blue
794543958,Existing Customer,53,M,1,Graduate,Divorced,Blue
716396358,Existing Customer,52,M,2,Graduate,Married,Blue
715398033,Existing Customer,53,M,2,High School,Single,Blue
711743883,Existing Customer,43,F,3,Uneducated,Single,Blue
719720058,Existing Customer,44,M,3,High School,Single,Blue
778992108,Existing Customer,57,M,2,Unknown,Married,Blue
717539808,Existing Customer,51,F,2,High School,Single,Blue
714070758,Existing Customer,49,M,4,High School,Single,Blue
714107958,Existing Customer,45,M,1,Graduate,Single,Blue
789140283,Existing Customer,53,M,0,Graduate,Single,Blue
715550508,Existing Customer,45,F,3,Unknown,Married,Blue
719712633,Existing Customer,64,M,1,Graduate,Married,Blue
772629333,Existing Customer,45,M,3,Graduate,Married,Blue
720336708,Existing Customer,53,M,3,Doctorate,Married,Blue
802013583,Existing Customer,56,M,3,College,Married,Blue
711887583,Attrited Customer,47,M,2,Unknown,Married,Blue
714778833,Existing Customer,49,F,3,College,Single,Blue
713843283,Existing Customer,41,F,3,Unknown,Married,Silver
779155158,Existing Customer,53,M,3,Graduate,Married,Blue
721091583,Existing Customer,44,F,2,Graduate,Single,Blue
713572683,Existing Customer,44,M,3,High School,Unknown,Blue
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Blue
779509983,Existing Customer,53,M,2,Post-Graduate,Single,Blue
717929133,Existing Customer,44,M,1,Uneducated,Married,Blue
808284783,Existing Customer,62,F,1,Unknown,Married,Blue
708476808,Existing Customer,54,M,4,Unknown,Divorced,Blue
710916408,Existing Customer,57,M,4,Graduate,Married,Blue
708492558,Existing Customer,42,M,3,Unknown,Married,Blue
799825758,Existing Customer,42,M,4,High School,Divorced,Blue
718619883,Existing Customer,54,F,0,Uneducated,Married,Blue
711844758,Existing Customer,48,M,3,Graduate,Single,Blue
714798783,Existing Customer,49,M,1,Graduate,Single,Blue
826762908,Existing Customer,52,M,3,High School,Unknown,Blue
771894558,Existing Customer,50,M,3,High School,Single,Blue
721074183,Existing Customer,49,M,1,Doctorate,Married,Blue
715259583,Existing Customer,53,F,2,High School,Married,Blue
718414008,Existing Customer,50,M,2,Graduate,Single,Blue
719666283,Existing Customer,55,F,1,Doctorate,Married,Blue
714877233,Existing Customer,53,M,1,High School,Married,Blue
785387883,Existing Customer,47,F,3,High School,Single,Blue
771075258,Existing Customer,55,M,2,College,Single,Silver
711318033,Existing Customer,47,M,3,Graduate,Single,Blue
783554958,Existing Customer,58,M,4,Graduate,Single,Blue
720201033,Attrited Customer,53,M,2,Graduate,Married,Blue
718039683,Existing Customer,52,M,2,High School,Single,Blue
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Silver
714752208,Existing Customer,42,F,1,Graduate,Married,Blue
822063408,Existing Customer,43,M,4,Unknown,Married,Blue
714490308,Existing Customer,57,M,4,Graduate,Married,Blue
713356833,Existing Customer,52,M,1,Graduate,Married,Blue
711402333,Existing Customer,47,M,2,Doctorate,Single,Blue
708296883,Existing Customer,44,F,3,Graduate,Single,Blue
719154483,Existing Customer,53,M,2,High School,Divorced,Blue
717721458,Existing Customer,45,M,4,College,Divorced,Blue
711112683,Existing Customer,63,F,1,College,Married,Blue
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Blue
789322833,Attrited Customer,48,F,5,High School,Married,Blue
789968058,Existing Customer,51,M,1,Unknown,Single,Blue
709919283,Existing Customer,54,M,4,Graduate,Married,Blue
718744008,Existing Customer,59,F,1,Graduate,Single,Blue
767712558,Attrited Customer,59,M,1,College,Single,Blue
712950783,Attrited Customer,48,F,4,Uneducated,Married,Blue
716104983,Existing Customer,41,F,2,Graduate,Single,Blue
818839983,Existing Customer,55,M,2,Graduate,Married,Blue
772288758,Existing Customer,47,F,4,Graduate,Married,Blue
712350858,Existing Customer,41,M,2,High School,Married,Blue
711009708,Existing Customer,40,M,3,High School,Single,Blue
712720158,Existing Customer,68,M,1,Graduate,Married,Blue
712215258,Existing Customer,50,F,1,Graduate,Single,Silver
773827008,Existing Customer,47,M,4,Uneducated,Single,Blue
795232683,Existing Customer,53,F,1,College,Married,Blue
713786508,Existing Customer,42,F,5,Unknown,Married,Blue
713539833,Existing Customer,48,F,4,High School,Single,Blue
712454058,Existing Customer,49,M,1,Doctorate,Married,Blue
718759833,Existing Customer,44,F,2,Uneducated,Married,Silver
718803333,Existing Customer,43,F,4,Graduate,Divorced,Blue
720253908,Existing Customer,56,M,0,High School,Married,Blue
714133158,Existing Customer,59,F,1,College,Single,Blue
713187033,Existing Customer,46,M,1,Uneducated,Married,Blue
714791208,Existing Customer,47,F,4,Unknown,Divorced,Blue
772426383,Existing Customer,50,F,4,Uneducated,Married,Blue
710975883,Existing Customer,51,F,3,Uneducated,Married,Blue
714264408,Existing Customer,47,F,3,Uneducated,Married,Blue
715827858,Existing Customer,58,F,4,Uneducated,Married,Blue
713741358,Attrited Customer,46,M,5,Graduate,Single,Blue
709531908,Existing Customer,53,M,3,High School,Married,Blue
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Blue
714141108,Existing Customer,52,F,1,High School,Married,Blue
708953883,Attrited Customer,53,M,2,Unknown,Married,Blue
712608783,Existing Customer,50,M,2,High School,Married,Silver
820353558,Existing Customer,41,F,3,High School,Married,Blue
714964758,Existing Customer,45,F,5,Graduate,Divorced,Blue
716264358,Existing Customer,53,M,3,Uneducated,Married,Blue
717296808,Existing Customer,67,F,1,Graduate,Married,Blue
712977183,Existing Customer,57,F,2,Uneducated,Single,Silver
710829108,Existing Customer,59,F,1,Uneducated,Married,Blue
779562633,Existing Customer,45,M,2,Uneducated,Married,Blue
715315833,Existing Customer,51,M,3,Graduate,Married,Blue
815500983,Existing Customer,59,F,1,Uneducated,Married,Blue
719360583,Existing Customer,53,M,1,Graduate,Married,Blue
709701558,Existing Customer,47,M,3,Graduate,Married,Blue
721148358,Existing Customer,49,F,3,Uneducated,Single,Blue
779862408,Existing Customer,49,M,3,Post-Graduate,Single,Blue
812627208,Existing Customer,60,F,0,College,Single,Blue
711033408,Existing Customer,50,F,2,High School,Married,Blue
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Blue
780376683,Existing Customer,57,M,1,Graduate,Married,Blue
717912483,Existing Customer,43,M,4,Graduate,Unknown,Blue
714454758,Existing Customer,57,F,3,Graduate,Married,Blue
780466533,Existing Customer,54,M,3,Doctorate,Married,Blue
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Blue
720476733,Existing Customer,47,F,3,High School,Married,Blue
715872333,Existing Customer,41,M,0,High School,Unknown,Blue
712375758,Existing Customer,53,M,3,Uneducated,Married,Blue
708868233,Attrited Customer,68,M,0,High School,Married,Blue
718030083,Existing Customer,59,M,1,College,Married,Blue
720707283,Existing Customer,48,M,4,Unknown,Married,Blue
771698658,Existing Customer,44,M,5,Graduate,Married,Blue
748326258,Existing Customer,48,M,3,College,Married,Blue
770817783,Existing Customer,47,M,4,Graduate,Married,Silver
779353083,Existing Customer,47,M,2,Graduate,Married,Silver
711441333,Existing Customer,43,F,1,High School,Divorced,Silver
719808558,Attrited Customer,55,F,2,Graduate,Married,Blue
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,Blue
809164083,Existing Customer,63,M,1,Graduate,Married,Blue
820596183,Existing Customer,58,M,2,College,Married,Blue
715999608,Existing Customer,53,F,2,High School,Married,Blue
710565408,Existing Customer,59,M,0,Unknown,Unknown,Silver
805543158,Existing Customer,52,M,3,Graduate,Married,Blue
709752183,Existing Customer,48,M,3,High School,Single,Blue
716479233,Existing Customer,43,M,4,High School,Married,Blue
713837058,Existing Customer,48,M,2,College,Single,Blue
718876683,Existing Customer,43,F,4,Graduate,Single,Blue
770746908,Existing Customer,44,M,4,Unknown,Married,Blue
794843883,Existing Customer,41,M,3,High School,Married,Blue
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Silver
758076408,Existing Customer,50,M,2,Unknown,Single,Blue
714606558,Existing Customer,60,F,1,Uneducated,Married,Blue
778425408,Existing Customer,44,M,4,Graduate,Single,Blue
714171108,Existing Customer,48,F,3,Graduate,Divorced,Blue
719662458,Existing Customer,44,F,2,Graduate,Divorced,Blue
713137233,Existing Customer,41,M,2,High School,Single,Blue
769425858,Existing Customer,45,M,3,College,Single,Blue
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Silver
788900883,Existing Customer,51,F,2,Graduate,Married,Blue
758348808,Existing Customer,51,M,2,Graduate,Married,Blue
772336458,Attrited Customer,60,F,1,Uneducated,Married,Blue
708711483,Existing Customer,57,M,2,Unknown,Married,Blue
717906783,Existing Customer,41,M,5,Graduate,Single,Blue
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,Blue
769433508,Existing Customer,43,M,1,College,Single,Blue
790096533,Existing Customer,55,M,2,College,Married,Blue
720997383,Attrited Customer,52,M,1,Uneducated,Married,Blue
787541883,Existing Customer,44,M,3,Graduate,Unknown,Blue
709930758,Existing Customer,41,M,2,Uneducated,Married,Blue
