Fatura_Cod,Produto,Quantidade,Preco_Unitario,Fatura_Total,Data,Cliente_Cod,Dist_Cod
3915803,PORTABLE BLUETOOTH SPEAKER,3,17.99,53.97,25/05/2024 16:20,709523508,17299-177127
3915803,PORTABLE BLUETOOTH SPEAKER,3,17.99,53.97,25/05/2024 16:20,820582308,30691-99444
6454394,PINK FLAMINGO BEACH TOWEL,3,3.69,11.07,25/05/2024 16:25,711708408,49845-271376
5634635,DIY CANDLE MAKING KIT,3,5.2,15.6,25/05/2024 17:04,778720533,12588-97821
2260769,SPICED TEA MIX,2,0.99,1.98,25/05/2024 17:11,716624133,23274-210524
8185458,PIZZA SLICES,2,3.99,7.98,25/05/2024 17:12,715268508,32478-131729
4075430,VELVET CUSHION COVER,2,9.45,18.9,25/05/2024 17:35,713726958,26943-246028
4345398,WATERPROOF PHONE CASE,3,0.85,2.55,25/05/2024 17:40,713653983,47402-258165
9682299,PIZZA SLICES,2,3.99,7.98,25/05/2024 17:45,710841183,10581-100395
3004141,LUXURY BATH BOMB SET,3,335.8,1007.4,25/05/2024 17:50,720714933,30142-22661
8967364,FROZEN YOGURT,3,1.99,5.97,25/05/2024 17:55,719991783,8998-94185
8765587,CLASSIC BLACK SUNGLASSES,2,3.71,7.42,25/05/2024 18:00,714075708,47252-243767
2002805,LUXURY BATH BOMB SET,1,335.8,335.8,25/05/2024 18:05,718308558,38142-95538
5327059,HEADPHONES WITH NOISE CANCELLATION,1,25.99,25.99,25/05/2024 18:10,803415183,18927-184364
2721818,FIRST AID KIT,1,3.99,3.99,25/05/2024 18:15,717030633,27379-247387
3149558,WATER BOTTLE WITH FILTER,3,1.49,4.47,25/05/2024 18:20,715466133,13713-107625
8141632,INSTANT CAMERA FILM,1,0.99,0.99,25/05/2024 18:25,779914383,34255-62699
3719685,PERSONALIZED NOTEBOOK,1,1.89,1.89,25/05/2024 18:30,709379283,28044-243727
2819794,GIN TONIC ABSOLUT,3,2.43,7.29,25/05/2024 18:35,708341958,15035-155445
5588315,SPACEBOY LUNCH BOX,2,1.0,2.0,25/05/2024 18:40,720322008,47749-258727
2012881,GIN TONIC ABSOLUT,1,2.43,2.43,25/05/2024 18:45,716225433,79638-114968
4355098,SPICED TEA MIX,1,0.99,0.99,25/05/2024 18:50,789196158,11529-103989
7117720,SMART WATCH FITNESS TRACKER,2,32.99,65.98,25/05/2024 18:55,712939533,21608-213346
4725582,DIY CANDLE MAKING KIT,2,5.2,10.4,25/05/2024 19:00,779324358,30357-73982
5173515,SMART WATCH FITNESS TRACKER,2,32.99,65.98,25/05/2024 19:05,720323208,24171-224044
3809349,DIY KITS FOR BEGINNERS,1,4.5,4.5,25/05/2024 19:10,720474408,73836-100578
4672968,TRAVEL BACKPACK,3,11.99,35.97,25/05/2024 19:15,720654183,1774-154153
7250380,MODERN WALL ART PRINT,2,4.2,8.4,25/05/2024 19:20,717095733,4290-1226
1762282,FRESHLY BAKED BREAD,2,1.49,2.98,25/05/2024 19:25,820268358,24530-235844
9213620,REUSABLE GROCERY BAGS,3,1.99,5.97,25/05/2024 19:30,716977758,74968-102652
7764392,CHOCOLATE CHIP COOKIES,1,10.77,10.77,25/05/2024 19:35,711515433,22620-222825
1616642,WATERPROOF PHONE CASE,2,0.85,1.7,25/05/2024 19:40,778617708,30167-30941
3689217,TRAVEL ADAPTERS SET,1,2.2,2.2,25/05/2024 19:45,717076458,13880-107832
5794235,HANDMADE CERAMIC MUG,3,3.3,9.9,25/05/2024 19:50,712312908,8090-154364
6921399,LUXURY CANDLE SET,2,4.99,9.98,25/05/2024 19:55,713594883,79245-99881
4500550,CHOCOLATE CHIP COOKIES,2,10.77,21.54,25/05/2024 20:00,710273658,5632-1942
5004979,FOLDABLE SHOPPING BAG,2,0.99,1.98,25/05/2024 20:05,720016308,15414-161225
9116733,PINK FLAMINGO BEACH TOWEL,1,3.69,3.69,25/05/2024 20:10,712253058,2398-10567
4230944,BLUE COAT RACK PARIS FASHION,3,22.29,66.87,25/05/2024 20:15,712952283,3799-115917
1599586,WATER BOTTLE WITH FILTER,3,1.49,4.47,25/05/2024 20:20,715627833,2224-661
9298100,SMART WATCH FITNESS TRACKER,1,32.99,32.99,25/05/2024 20:25,709046958,30954-99024
4204916,BLUE COAT RACK PARIS FASHION,3,22.29,66.87,25/05/2024 20:30,710512833,31442-105360
1768313,FIRST AID KIT,1,3.99,3.99,25/05/2024 20:35,713741358,22103-217404
6725542,ECO-FRIENDLY BAMBOO TOOTHBRUSH,3,0.75,2.25,25/05/2024 20:40,719336583,1193-115969
1308488,RAINBOW UNICORN T-SHIRT,3,3.12,9.36,25/05/2024 20:45,802878408,31411-106715
2464927,RAINBOW UNICORN T-SHIRT,3,3.12,9.36,25/05/2024 20:50,717585858,30955-103324
3861458,PORTABLE BLUETOOTH SPEAKER,1,17.99,17.99,25/05/2024 20:55,713804058,49556-269925
7648024,HANDMADE CERAMIC MUG,2,3.3,6.6,25/05/2024 21:00,713789883,22311-211366
7654848,SPICED TEA MIX,1,0.99,0.99,25/05/2024 21:10,715396983,16329-170448
6105873,LUXURY BATH BOMB SET,1,335.8,335.8,25/05/2024 21:15,789823383,10183-99965
6265836,VINTAGE STYLE WALL CLOCK,1,5.99,5.99,25/05/2024 21:20,716136333,26526-244252
4888495,SHORT NIKE M,2,2.0,4.0,25/05/2024 21:25,794191008,18400-182489
9450579,BLUE COAT RACK PARIS FASHION,3,22.29,66.87,25/05/2024 21:30,709288383,17986-184008
2838081,CHOCOLATE CHIP COOKIES,3,10.77,32.31,25/05/2024 21:35,718676283,76168-89002
6468704,FIRST AID KIT,2,3.99,7.98,25/05/2024 21:40,768638208,4705-101307
7489824,VINTAGE STYLE WALL CLOCK,2,5.99,11.98,25/05/2024 21:45,715731033,20250-175464
7596555,WATER BOTTLE WITH FILTER,2,1.49,2.98,25/05/2024 21:50,817240833,20260-204424
2811212,HIGH QUALITY COFFEE BEANS,1,1.79,1.79,25/05/2024 21:55,713431008,12280-59239
4064172,ORGANIC TEA INFUSIONS,3,3.0,9.0,25/05/2024 22:00,759584958,32606-119580
9277127,RAINBOW UNICORN T-SHIRT,1,3.12,3.12,25/05/2024 22:05,713827383,32755-136945
5854814,WATER BOTTLE WITH FILTER,2,1.49,2.98,25/05/2024 22:10,717190533,3420-93705
9224448,ORGANIC TEA INFUSIONS,1,3.0,3.0,25/05/2024 22:15,721217283,17124-130906
4981530,BLUE COAT RACK PARIS FASHION,2,22.29,44.58,25/05/2024 22:20,718742808,73540-53499
1161397,FRESHLY BAKED BREAD,3,1.49,4.47,25/05/2024 22:25,718428033,73822-120484
2243562,ORGANIC TEA INFUSIONS,2,3.0,6.0,25/05/2024 22:30,714306258,19211-198924
5041640,PERSONALIZED NOTEBOOK,1,1.89,1.89,25/05/2024 22:35,779331558,13762-106968
4928664,MODERN WALL ART PRINT,1,4.2,4.2,25/05/2024 22:40,789701658,11664-103729
3074491,SHORT NIKE M,2,2.0,4.0,25/05/2024 22:45,789012633,76153-90927
8591674,SUSHI MAKING KIT,1,6.99,6.99,25/05/2024 22:50,710702733,15062-155325
1557429,POWER BANK CHARGER,2,9.99,19.98,25/05/2024 22:55,718654533,28624-249945
7057479,WATER BOTTLE WITH FILTER,2,1.49,2.98,25/05/2024 23:00,718383183,28706-250907
2912446,DIY CANDLE MAKING KIT,2,5.2,10.4,25/05/2024 23:05,709663608,24946-229904
5688658,DIY CANDLE MAKING KIT,1,5.2,5.2,25/05/2024 23:10,719094333,2757-89241
2686588,FIRST AID KIT,3,3.99,11.97,25/05/2024 23:15,716442333,19667-165365
4905428,FRESHLY BAKED BREAD,2,1.49,2.98,25/05/2024 23:20,716404383,20207-204091
1695932,FIRST AID KIT,1,3.99,3.99,25/05/2024 23:25,711626658,9955-99149
1490219,VEGAN BURGERS,2,3.49,6.98,25/05/2024 23:30,714262533,74758-97376
2896105,LUXURY CANDLE SET,2,4.99,9.98,25/05/2024 23:35,713256033,31077-103980
8831398,SUNSCREEN SPF 50,2,1.99,3.98,25/05/2024 23:40,818901708,74334-83260
5397711,INSTANT CAMERA FILM,1,0.99,0.99,25/05/2024 23:45,717972408,14601-126966
1321252,CHOCOLATE CHIP COOKIES,1,10.77,10.77,25/05/2024 23:50,779269158,23232-227204
7745695,SUNSCREEN SPF 50,2,1.99,3.98,25/05/2024 23:55,799475658,26207-240130
5521849,DIY KITS FOR BEGINNERS,2,4.5,9.0,26/05/2024 00:00,719688408,19846-200144
2115077,BLUE COAT RACK PARIS FASHION,1,22.29,22.29,26/05/2024 00:05,708445608,23968-227992
4007269,CHOCOLATE CHIP COOKIES,3,10.77,32.31,26/05/2024 00:10,715118058,28223-250046
9208172,SPICED TEA MIX,1,0.99,0.99,26/05/2024 00:15,711410958,16378-170816
3948660,SPICED TEA MIX,1,0.99,0.99,26/05/2024 00:20,818839983,74833-99499
4188808,SMART WATCH FITNESS TRACKER,1,32.99,32.99,26/05/2024 00:25,716116383,48332-261291
2485586,RAINBOW UNICORN T-SHIRT,3,3.12,9.36,26/05/2024 00:30,712924383,48324-262830
5567654,PINK FLAMINGO BEACH TOWEL,2,3.69,7.38,26/05/2024 00:35,717084708,8317-5888
6888441,HEADPHONES WITH NOISE CANCELLATION,2,25.99,51.98,26/05/2024 00:40,720218658,24976-239284
4270348,PERSONALIZED NOTEBOOK,2,1.89,3.78,26/05/2024 00:45,708459633,11629-105704
6326325,ORGANIC HONEY,3,1.49,4.47,26/05/2024 00:50,713533983,9476-96101
3586096,MODERN WALL ART PRINT,1,4.2,4.2,26/05/2024 00:55,710632683,47758-258884
9586357,DIGITAL DRAWING TABLET,3,8.99,26.97,26/05/2024 01:00,708177333,13397-107450
5549511,CHOCOLATE CHIP COOKIES,3,10.77,32.31,26/05/2024 01:05,716961933,32305-123984
8895310,SPICED TEA MIX,1,0.99,0.99,26/05/2024 01:10,716186883,4173-147705
7520117,CHOCOLATE CHIP COOKIES,1,10.77,10.77,26/05/2024 01:15,718064283,7293-955
9493445,SMART WATCH FITNESS TRACKER,2,32.99,65.98,26/05/2024 01:20,708723858,72457-7627
4067283,BLUE COAT RACK PARIS FASHION,1,22.29,22.29,26/05/2024 01:25,719770158,29892-253489
4243668,PIZZA SLICES,3,3.99,11.97,26/05/2024 01:30,712950783,74913-100330
4549510,SPACEBOY LUNCH BOX,1,1.0,1.0,26/05/2024 01:35,773332908,76196-92460
5491031,SUNSCREEN SPF 50,2,1.99,3.98,26/05/2024 01:40,770717883,75251-93591
2339043,HIGH QUALITY COFFEE BEANS,2,1.79,3.58,26/05/2024 01:45,780984408,74149-24410
9753221,HANDMADE SOAP BAR,1,2.49,2.49,26/05/2024 01:50,770717883,15659-163865
4808739,PINK FLAMINGO BEACH TOWEL,1,3.69,3.69,26/05/2024 01:55,788832033,18721-191887
8045692,HANDMADE SOAP BAR,1,2.49,2.49,26/05/2024 02:00,721253508,3077-125813
2490026,BLUE COAT RACK PARIS FASHION,1,22.29,22.29,26/05/2024 02:05,712624383,29923-255824
6994706,HIGH QUALITY COFFEE BEANS,2,1.79,3.58,26/05/2024 02:10,713041683,15165-156664
4636997,TRAVEL BACKPACK,2,11.99,23.98,26/05/2024 02:15,803124408,5965-174164
3055554,PORTABLE BLUETOOTH SPEAKER,2,17.99,35.98,26/05/2024 02:20,719564208,602-311
4657298,LUXURY BATH BOMB SET,2,335.8,671.6,26/05/2024 02:25,803833608,75944-95982
5086563,CHESS SET,3,27.99,83.97,26/05/2024 02:30,721321383,26865-245926
7537363,LUXURY CANDLE SET,1,4.99,4.99,26/05/2024 02:35,711027183,18383-185764
5402097,CLASSIC BLACK SUNGLASSES,2,3.71,7.42,26/05/2024 02:40,714021183,76401-95750
